episode_id,subject_id,k,seed,class_label,trial_key,record_id,repetition_id,session_id,split_name
grabmyo-S12-K2-seed3401,12,2,3401,hand_close,grabmyo-S012-D1-hand_close-T02,grabmyo-S012-D1-hand_close-T02,grabmyo-S012-D1-hand_close-T02,1,validation
grabmyo-S12-K2-seed3401,12,2,3401,hand_close,grabmyo-S012-D1-hand_close-T06,grabmyo-S012-D1-hand_close-T06,grabmyo-S012-D1-hand_close-T06,1,validation
grabmyo-S12-K2-seed3401,12,2,3401,rest,grabmyo-S012-D1-rest-T05,grabmyo-S012-D1-rest-T05,grabmyo-S012-D1-rest-T05,1,validation
grabmyo-S12-K2-seed3401,12,2,3401,rest,grabmyo-S012-D1-rest-T07,grabmyo-S012-D1-rest-T07,grabmyo-S012-D1-rest-T07,1,validation
grabmyo-S12-K2-seed3401,12,2,3401,wrist_extension,grabmyo-S012-D1-wrist_extension-T01,grabmyo-S012-D1-wrist_extension-T01,grabmyo-S012-D1-wrist_extension-T01,1,validation
grabmyo-S12-K2-seed3401,12,2,3401,wrist_extension,grabmyo-S012-D1-wrist_extension-T07,grabmyo-S012-D1-wrist_extension-T07,grabmyo-S012-D1-wrist_extension-T07,1,validation
grabmyo-S12-K2-seed3401,12,2,3401,wrist_flexion,grabmyo-S012-D1-wrist_flexion-T02,grabmyo-S012-D1-wrist_flexion-T02,grabmyo-S012-D1-wrist_flexion-T02,1,validation
grabmyo-S12-K2-seed3401,12,2,3401,wrist_flexion,grabmyo-S012-D1-wrist_flexion-T06,grabmyo-S012-D1-wrist_flexion-T06,grabmyo-S012-D1-wrist_flexion-T06,1,validation
grabmyo-S13-K2-seed3401,13,2,3401,hand_close,grabmyo-S013-D1-hand_close-T04,grabmyo-S013-D1-hand_close-T04,grabmyo-S013-D1-hand_close-T04,1,validation
grabmyo-S13-K2-seed3401,13,2,3401,hand_close,grabmyo-S013-D1-hand_close-T07,grabmyo-S013-D1-hand_close-T07,grabmyo-S013-D1-hand_close-T07,1,validation
