episode_id,subject_id,day35_development_partition,k,class_label,calibration_trial_key
day35-grabmyo-S28-K2-seed3501,28,calibration_fit,2,rest,grabmyo-S028-D1-rest-T02
day35-grabmyo-S28-K2-seed3501,28,calibration_fit,2,rest,grabmyo-S028-D1-rest-T04
day35-grabmyo-S28-K2-seed3501,28,calibration_fit,2,hand_close,grabmyo-S028-D1-hand_close-T01
day35-grabmyo-S28-K2-seed3501,28,calibration_fit,2,hand_close,grabmyo-S028-D1-hand_close-T07
day35-grabmyo-S28-K2-seed3501,28,calibration_fit,2,wrist_flexion,grabmyo-S028-D1-wrist_flexion-T05
day35-grabmyo-S28-K2-seed3501,28,calibration_fit,2,wrist_flexion,grabmyo-S028-D1-wrist_flexion-T07
day35-grabmyo-S28-K2-seed3501,28,calibration_fit,2,wrist_extension,grabmyo-S028-D1-wrist_extension-T01
day35-grabmyo-S28-K2-seed3501,28,calibration_fit,2,wrist_extension,grabmyo-S028-D1-wrist_extension-T02
day35-grabmyo-S14-K2-seed3501,14,calibration_fit,2,rest,grabmyo-S014-D1-rest-T03
day35-grabmyo-S14-K2-seed3501,14,calibration_fit,2,rest,grabmyo-S014-D1-rest-T06
day35-grabmyo-S14-K2-seed3501,14,calibration_fit,2,hand_close,grabmyo-S014-D1-hand_close-T01
day35-grabmyo-S14-K2-seed3501,14,calibration_fit,2,hand_close,grabmyo-S014-D1-hand_close-T04
day35-grabmyo-S14-K2-seed3501,14,calibration_fit,2,wrist_flexion,grabmyo-S014-D1-wrist_flexion-T03
day35-grabmyo-S14-K2-seed3501,14,calibration_fit,2,wrist_flexion,grabmyo-S014-D1-wrist_flexion-T07
day35-grabmyo-S14-K2-seed3501,14,calibration_fit,2,wrist_extension,grabmyo-S014-D1-wrist_extension-T06
day35-grabmyo-S14-K2-seed3501,14,calibration_fit,2,wrist_extension,grabmyo-S014-D1-wrist_extension-T07
day35-grabmyo-S3-K2-seed3501,3,calibration_fit,2,rest,grabmyo-S003-D1-rest-T02
day35-grabmyo-S3-K2-seed3501,3,calibration_fit,2,rest,grabmyo-S003-D1-rest-T04
day35-grabmyo-S3-K2-seed3501,3,calibration_fit,2,hand_close,grabmyo-S003-D1-hand_close-T02
day35-grabmyo-S3-K2-seed3501,3,calibration_fit,2,hand_close,grabmyo-S003-D1-hand_close-T03
day35-grabmyo-S3-K2-seed3501,3,calibration_fit,2,wrist_flexion,grabmyo-S003-D1-wrist_flexion-T02
day35-grabmyo-S3-K2-seed3501,3,calibration_fit,2,wrist_flexion,grabmyo-S003-D1-wrist_flexion-T06
day35-grabmyo-S3-K2-seed3501,3,calibration_fit,2,wrist_extension,grabmyo-S003-D1-wrist_extension-T05
day35-grabmyo-S3-K2-seed3501,3,calibration_fit,2,wrist_extension,grabmyo-S003-D1-wrist_extension-T06
day35-grabmyo-S40-K2-seed3501,40,calibration_fit,2,rest,grabmyo-S040-D1-rest-T01
day35-grabmyo-S40-K2-seed3501,40,calibration_fit,2,rest,grabmyo-S040-D1-rest-T07
day35-grabmyo-S40-K2-seed3501,40,calibration_fit,2,hand_close,grabmyo-S040-D1-hand_close-T06
day35-grabmyo-S40-K2-seed3501,40,calibration_fit,2,hand_close,grabmyo-S040-D1-hand_close-T07
day35-grabmyo-S40-K2-seed3501,40,calibration_fit,2,wrist_flexion,grabmyo-S040-D1-wrist_flexion-T01
day35-grabmyo-S40-K2-seed3501,40,calibration_fit,2,wrist_flexion,grabmyo-S040-D1-wrist_flexion-T07
