episode_id,subject_id,day35_development_partition,k,class_label,calibration_trial_key
day35-mendeley-S29-K2-seed3501,29,calibration_fit,2,rest,mendeley-S029-rest-R02
day35-mendeley-S29-K2-seed3501,29,calibration_fit,2,rest,mendeley-S029-rest-R03
day35-mendeley-S29-K2-seed3501,29,calibration_fit,2,hand_close,mendeley-S029-grip-R01
day35-mendeley-S29-K2-seed3501,29,calibration_fit,2,hand_close,mendeley-S029-grip-R03
day35-mendeley-S29-K2-seed3501,29,calibration_fit,2,wrist_flexion,mendeley-S029-wrist_flexion-R03
day35-mendeley-S29-K2-seed3501,29,calibration_fit,2,wrist_flexion,mendeley-S029-wrist_flexion-R05
day35-mendeley-S29-K2-seed3501,29,calibration_fit,2,wrist_extension,mendeley-S029-wrist_extension-R01
day35-mendeley-S29-K2-seed3501,29,calibration_fit,2,wrist_extension,mendeley-S029-wrist_extension-R03
day35-mendeley-S18-K2-seed3501,18,calibration_fit,2,rest,mendeley-S018-rest-R01
day35-mendeley-S18-K2-seed3501,18,calibration_fit,2,rest,mendeley-S018-rest-R02
day35-mendeley-S18-K2-seed3501,18,calibration_fit,2,hand_close,mendeley-S018-grip-R04
day35-mendeley-S18-K2-seed3501,18,calibration_fit,2,hand_close,mendeley-S018-grip-R05
day35-mendeley-S18-K2-seed3501,18,calibration_fit,2,wrist_flexion,mendeley-S018-wrist_flexion-R02
day35-mendeley-S18-K2-seed3501,18,calibration_fit,2,wrist_flexion,mendeley-S018-wrist_flexion-R03
day35-mendeley-S18-K2-seed3501,18,calibration_fit,2,wrist_extension,mendeley-S018-wrist_extension-R03
day35-mendeley-S18-K2-seed3501,18,calibration_fit,2,wrist_extension,mendeley-S018-wrist_extension-R04
day35-mendeley-S11-K2-seed3501,11,calibration_fit,2,rest,mendeley-S011-rest-R02
day35-mendeley-S11-K2-seed3501,11,calibration_fit,2,rest,mendeley-S011-rest-R05
day35-mendeley-S11-K2-seed3501,11,calibration_fit,2,hand_close,mendeley-S011-grip-R02
