direction,feature_arm,feature_name,smd,abs_smd,wasserstein_source_scaled
mendeley_to_grabmyo,TD8,mean__MAV,-0.869596004486084,0.869596004486084,0.8584264898890674
mendeley_to_grabmyo,TD8,mean__RMS,-0.8474891185760498,0.8474891185760498,0.8230402091847888
mendeley_to_grabmyo,TD8,mean__WL,-0.921360194683075,0.921360194683075,0.9198506135939776
mendeley_to_grabmyo,TD8,mean__ZC,-0.9066739082336426,0.9066739082336426,0.9006253839780887
mendeley_to_grabmyo,TD8,mean__SSC,-0.7947791218757629,0.7947791218757629,0.7934556923496228
mendeley_to_grabmyo,TD8,mean__WAMP,-0.8868599534034729,0.8868599534034729,0.8843592069266984
mendeley_to_grabmyo,TD8,mean__VAR,-0.8468895554542542,0.8468895554542542,0.8231211805754962
mendeley_to_grabmyo,TD8,mean__IEMG,-0.9144444465637207,0.9144444465637207,0.9074383993633093
mendeley_to_grabmyo,TD8,std__MAV,-0.8744354248046875,0.8744354248046875,0.7547067621448756
mendeley_to_grabmyo,TD8,std__RMS,-0.5537745356559753,0.5537745356559753,0.5997076648122551
mendeley_to_grabmyo,TD8,std__WL,-1.0014729499816895,1.0014729499816895,0.9239356347476132
mendeley_to_grabmyo,TD8,std__ZC,-0.8679407238960266,0.8679407238960266,0.7428224606381262
mendeley_to_grabmyo,TD8,std__SSC,-1.071977972984314,1.071977972984314,0.9411094169210021
mendeley_to_grabmyo,TD8,std__WAMP,-1.2847485542297363,1.2847485542297363,1.0483635774018092
mendeley_to_grabmyo,TD8,std__VAR,-0.39928802847862244,0.39928802847862244,0.5910670383605366
mendeley_to_grabmyo,TD8,std__IEMG,-0.7992271184921265,0.7992271184921265,0.7216849834774622
mendeley_to_grabmyo,TD8,min__MAV,-0.4747503101825714,0.4747503101825714,0.46395770072837583
mendeley_to_grabmyo,TD8,min__RMS,-0.5208017826080322,0.5208017826080322,0.508207010711582
mendeley_to_grabmyo,TD8,min__WL,-0.4316423237323761,0.4316423237323761,0.43226496047501917
mendeley_to_grabmyo,TD8,min__ZC,-0.6007245182991028,0.6007245182991028,0.5922696264654708
mendeley_to_grabmyo,TD8,min__SSC,-0.34401822090148926,0.34401822090148926,0.3416272420363383
mendeley_to_grabmyo,TD8,min__WAMP,-0.3560810983181,0.3560810983181,0.36707404719442516
mendeley_to_grabmyo,TD8,min__VAR,-0.3962797224521637,0.3962797224521637,0.3807882506031699
mendeley_to_grabmyo,TD8,min__IEMG,-0.323074609041214,0.323074609041214,0.3329507964546792
mendeley_to_grabmyo,TD8,max__MAV,-1.2557629346847534,1.2557629346847534,1.2586093776471292
mendeley_to_grabmyo,TD8,max__RMS,-1.145536184310913,1.145536184310913,1.1213560666035236
mendeley_to_grabmyo,TD8,max__WL,-1.3975121974945068,1.3975121974945068,1.4066448198476182
mendeley_to_grabmyo,TD8,max__ZC,-1.2906229496002197,1.2906229496002197,1.2764605496001116
mendeley_to_grabmyo,TD8,max__SSC,-1.2298356294631958,1.2298356294631958,1.2211489934901085
mendeley_to_grabmyo,TD8,max__WAMP,-1.3340673446655273,1.3340673446655273,1.3399721617965648
mendeley_to_grabmyo,TD8,max__VAR,-1.1067607402801514,1.1067607402801514,1.05923166590898
mendeley_to_grabmyo,TD8,max__IEMG,-1.2508045434951782,1.2508045434951782,1.2725152657352736
mendeley_to_grabmyo,TD8,median__MAV,-0.8411181569099426,0.8411181569099426,0.8239362364568781
mendeley_to_grabmyo,TD8,median__RMS,-0.8396869897842407,0.8396869897842407,0.8091478134486048
mendeley_to_grabmyo,TD8,median__WL,-0.930938184261322,0.930938184261322,0.9220415726847324
mendeley_to_grabmyo,TD8,median__ZC,-0.8824741244316101,0.8824741244316101,0.8677230000204873
mendeley_to_grabmyo,TD8,median__SSC,-0.7934830784797668,0.7934830784797668,0.788095020938393
mendeley_to_grabmyo,TD8,median__WAMP,-0.9041441679000854,0.9041441679000854,0.8931197035436828
mendeley_to_grabmyo,TD8,median__VAR,-0.8574997186660767,0.8574997186660767,0.8350993207423018
