subject_id,session_id,task_label,median_srd,median_cv_percent,median_rmad,supported_pairs
1,session-1,hand_close,0.11329682061053171,7.415116813438916,0.08356598506648573,60
1,session-1,rest,0.17027036214299296,11.277308746251116,0.10556900852493943,60
1,session-1,wrist_extension,0.2826868910420165,20.785391405629834,0.1411057093057786,60
1,session-1,wrist_flexion,0.107813097190224,9.252254612628406,0.06690830490079758,60
10,session-1,hand_close,0.3287439753024872,24.023028102094987,0.2119288225955566,60
10,session-1,rest,0.25031374890452296,26.403042125815368,0.3487646265516023,60
10,session-1,wrist_extension,0.19718376070966737,18.59414039068733,0.17724076462513544,60
10,session-1,wrist_flexion,0.3825271334955229,44.416445545380334,0.32202917336152376,60
11,session-1,hand_close,0.19488679315014754,29.724845016723897,0.13506754141060676,60
11,session-1,rest,0.18261210597354652,18.934837689572205,0.15439973480765135,60
11,session-1,wrist_extension,0.2253089178080995,16.849743992308035,0.16045213039271,60
11,session-1,wrist_flexion,0.3454503180088815,39.42903972164015,0.2575730392396577,60
12,session-1,hand_close,0.14004090731543561,10.724867376458754,0.08076564718515222,60
12,session-1,rest,0.29125944529807923,25.072127753928044,0.20187740965352008,60
12,session-1,wrist_extension,0.12434037971828685,10.117920550705193,0.08014992537825152,60
12,session-1,wrist_flexion,0.4653421066266882,39.776691785217515,0.24889998021147056,60
13,session-1,hand_close,0.455294177880873,38.46567048793689,0.35942682179383323,60
13,session-1,rest,0.2997407744868342,43.95101798042153,0.08422540710302164,60
13,session-1,wrist_extension,0.20197061686022338,16.616328899686764,0.10001314869099483,60
13,session-1,wrist_flexion,0.4136749649194361,35.71683227962015,0.21506946855949516,60
14,session-1,hand_close,0.048362717266581444,5.61093566000816,0.050790843968299935,60
14,session-1,rest,0.07907318484006706,13.523649680768212,0.10023071328292867,60
14,session-1,wrist_extension,0.03385564436625174,3.887188368588191,0.041742068249665046,60
14,session-1,wrist_flexion,0.1262220931905714,13.60105824755027,0.12446177987943247,60
15,session-1,hand_close,0.2338060229519894,92.90814611081312,0.18442336905525797,60
15,session-1,rest,0.5494690051549833,47.90831791283354,0.43622209219568664,60
15,session-1,wrist_extension,0.206680826724053,15.897288740400203,0.11005216607255902,60
15,session-1,wrist_flexion,0.28288690797384,28.811684814758774,0.22499822603419317,60
16,session-1,hand_close,0.2907141358538331,23.880670091190744,0.22598307664863576,60
16,session-1,rest,0.22559221452285821,20.659281431766512,0.1987475489558706,60
16,session-1,wrist_extension,0.12269628062366557,11.692175020306383,0.10217049199194211,60
16,session-1,wrist_flexion,0.16104925573669776,21.407072330168447,0.22960419829377604,60
17,session-1,hand_close,0.30968408218335763,27.86563031844018,0.13717870553363432,60
17,session-1,rest,0.24420022668500208,28.52764233876458,0.23993770130713243,60
17,session-1,wrist_extension,0.0837752930373985,7.718193816063079,0.07232596323486212,60
17,session-1,wrist_flexion,0.15594944858844206,16.449341280183216,0.11775658825070892,60
18,session-1,hand_close,0.2111059209461324,22.46597495837227,0.2509011185753595,60
18,session-1,rest,0.08085672930590947,11.670090023023052,0.0815889872690319,60
18,session-1,wrist_extension,0.11258186666370518,11.04744803902938,0.0983564641677557,60
18,session-1,wrist_flexion,0.26914733036624383,26.02205967293174,0.1893492212797072,60
19,session-1,hand_close,0.22722831256874787,24.78146825294212,0.18887955566045533,60
19,session-1,rest,0.16205025388543598,17.026982713449236,0.10987685254453305,60
19,session-1,wrist_extension,0.06710634612594576,6.5217305950697035,0.03757324255960757,60
19,session-1,wrist_flexion,0.2496404658652061,36.81569337652232,0.08572619929194925,60
2,session-1,hand_close,0.4223715461357922,77.50021724752465,0.3332284792922169,60
2,session-1,rest,0.4226360314259398,47.63140375059666,0.18582343926743772,60
2,session-1,wrist_extension,0.1441904892004037,13.739737700454615,0.16855928831126837,60
2,session-1,wrist_flexion,0.7691867281473233,61.033500964762226,0.6165989797043395,60
