trial_key,subject_id,session_id,y_true,p0_pred,day32_y_pred,match_day32
mendeley-S010-grip-R01,10,0,hand_close,hand_close,hand_close,True
mendeley-S010-grip-R02,10,0,hand_close,hand_close,hand_close,True
mendeley-S010-grip-R03,10,0,hand_close,hand_close,hand_close,True
mendeley-S010-grip-R04,10,0,hand_close,hand_close,hand_close,True
mendeley-S010-grip-R05,10,0,hand_close,hand_close,hand_close,True
mendeley-S010-rest-R01,10,0,rest,rest,rest,True
mendeley-S010-rest-R02,10,0,rest,rest,rest,True
mendeley-S010-rest-R03,10,0,rest,rest,rest,True
mendeley-S010-rest-R04,10,0,rest,rest,rest,True
mendeley-S010-rest-R05,10,0,rest,rest,rest,True
mendeley-S010-wrist_extension-R01,10,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S010-wrist_extension-R02,10,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S010-wrist_extension-R03,10,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S010-wrist_extension-R04,10,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S010-wrist_extension-R05,10,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S010-wrist_flexion-R01,10,0,wrist_flexion,wrist_flexion,wrist_flexion,True
mendeley-S010-wrist_flexion-R02,10,0,wrist_flexion,wrist_flexion,wrist_flexion,True
mendeley-S010-wrist_flexion-R03,10,0,wrist_flexion,rest,rest,True
mendeley-S010-wrist_flexion-R04,10,0,wrist_flexion,rest,rest,True
mendeley-S010-wrist_flexion-R05,10,0,wrist_flexion,wrist_flexion,wrist_flexion,True
mendeley-S015-grip-R01,15,0,hand_close,hand_close,hand_close,True
mendeley-S015-grip-R02,15,0,hand_close,hand_close,hand_close,True
mendeley-S015-grip-R03,15,0,hand_close,hand_close,hand_close,True
mendeley-S015-grip-R04,15,0,hand_close,hand_close,hand_close,True
mendeley-S015-grip-R05,15,0,hand_close,hand_close,hand_close,True
mendeley-S015-rest-R01,15,0,rest,wrist_flexion,wrist_flexion,True
mendeley-S015-rest-R02,15,0,rest,wrist_flexion,wrist_flexion,True
mendeley-S015-rest-R03,15,0,rest,wrist_flexion,wrist_flexion,True
mendeley-S015-rest-R04,15,0,rest,rest,rest,True
mendeley-S015-rest-R05,15,0,rest,rest,rest,True
mendeley-S015-wrist_extension-R01,15,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S015-wrist_extension-R02,15,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S015-wrist_extension-R03,15,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S015-wrist_extension-R04,15,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S015-wrist_extension-R05,15,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S015-wrist_flexion-R01,15,0,wrist_flexion,wrist_flexion,wrist_flexion,True
mendeley-S015-wrist_flexion-R02,15,0,wrist_flexion,wrist_flexion,wrist_flexion,True
mendeley-S015-wrist_flexion-R03,15,0,wrist_flexion,wrist_flexion,wrist_flexion,True
mendeley-S015-wrist_flexion-R04,15,0,wrist_flexion,wrist_flexion,wrist_flexion,True
mendeley-S015-wrist_flexion-R05,15,0,wrist_flexion,wrist_flexion,wrist_flexion,True
mendeley-S021-grip-R01,21,0,hand_close,wrist_flexion,wrist_flexion,True
mendeley-S021-grip-R02,21,0,hand_close,wrist_flexion,wrist_flexion,True
mendeley-S021-grip-R03,21,0,hand_close,wrist_flexion,wrist_flexion,True
mendeley-S021-grip-R04,21,0,hand_close,wrist_flexion,wrist_flexion,True
mendeley-S021-grip-R05,21,0,hand_close,wrist_flexion,wrist_flexion,True
mendeley-S021-rest-R01,21,0,rest,rest,rest,True
mendeley-S021-rest-R02,21,0,rest,rest,rest,True
mendeley-S021-rest-R03,21,0,rest,rest,rest,True
mendeley-S021-rest-R04,21,0,rest,rest,rest,True
mendeley-S021-rest-R05,21,0,rest,rest,rest,True
mendeley-S021-wrist_extension-R01,21,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S021-wrist_extension-R02,21,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S021-wrist_extension-R03,21,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S021-wrist_extension-R04,21,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S021-wrist_extension-R05,21,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S021-wrist_flexion-R01,21,0,wrist_flexion,wrist_extension,wrist_extension,True
mendeley-S021-wrist_flexion-R02,21,0,wrist_flexion,wrist_extension,wrist_extension,True
mendeley-S021-wrist_flexion-R03,21,0,wrist_flexion,rest,rest,True
mendeley-S021-wrist_flexion-R04,21,0,wrist_flexion,wrist_flexion,wrist_flexion,True
