episode_id,subject_id,k,seed,class_label,trial_key,record_id,repetition_id,session_id,split_name
mendeley-S10-K2-seed3401,10,2,3401,hand_close,mendeley-S010-grip-R02,mendeley-S010-R02-G05-grip,mendeley-S010-grip-R02,0,validation
mendeley-S10-K2-seed3401,10,2,3401,hand_close,mendeley-S010-grip-R03,mendeley-S010-R03-G05-grip,mendeley-S010-grip-R03,0,validation
mendeley-S10-K2-seed3401,10,2,3401,rest,mendeley-S010-rest-R01,mendeley-S010-R01-G00-rest,mendeley-S010-rest-R01,0,validation
mendeley-S10-K2-seed3401,10,2,3401,rest,mendeley-S010-rest-R03,mendeley-S010-R03-G00-rest,mendeley-S010-rest-R03,0,validation
mendeley-S10-K2-seed3401,10,2,3401,wrist_extension,mendeley-S010-wrist_extension-R01,mendeley-S010-R01-G01-wrist_extension,mendeley-S010-wrist_extension-R01,0,validation
mendeley-S10-K2-seed3401,10,2,3401,wrist_extension,mendeley-S010-wrist_extension-R02,mendeley-S010-R02-G01-wrist_extension,mendeley-S010-wrist_extension-R02,0,validation
mendeley-S10-K2-seed3401,10,2,3401,wrist_flexion,mendeley-S010-wrist_flexion-R01,mendeley-S010-R01-G02-wrist_flexion,mendeley-S010-wrist_flexion-R01,0,validation
mendeley-S10-K2-seed3401,10,2,3401,wrist_flexion,mendeley-S010-wrist_flexion-R04,mendeley-S010-R04-G02-wrist_flexion,mendeley-S010-wrist_flexion-R04,0,validation
mendeley-S15-K2-seed3401,15,2,3401,hand_close,mendeley-S015-grip-R03,mendeley-S015-R03-G05-grip,mendeley-S015-grip-R03,0,validation
mendeley-S15-K2-seed3401,15,2,3401,hand_close,mendeley-S015-grip-R04,mendeley-S015-R04-G05-grip,mendeley-S015-grip-R04,0,validation
mendeley-S15-K2-seed3401,15,2,3401,rest,mendeley-S015-rest-R03,mendeley-S015-R03-G00-rest,mendeley-S015-rest-R03,0,validation
mendeley-S15-K2-seed3401,15,2,3401,rest,mendeley-S015-rest-R04,mendeley-S015-R04-G00-rest,mendeley-S015-rest-R04,0,validation
mendeley-S15-K2-seed3401,15,2,3401,wrist_extension,mendeley-S015-wrist_extension-R02,mendeley-S015-R02-G01-wrist_extension,mendeley-S015-wrist_extension-R02,0,validation
mendeley-S15-K2-seed3401,15,2,3401,wrist_extension,mendeley-S015-wrist_extension-R04,mendeley-S015-R04-G01-wrist_extension,mendeley-S015-wrist_extension-R04,0,validation
mendeley-S15-K2-seed3401,15,2,3401,wrist_flexion,mendeley-S015-wrist_flexion-R02,mendeley-S015-R02-G02-wrist_flexion,mendeley-S015-wrist_flexion-R02,0,validation
mendeley-S15-K2-seed3401,15,2,3401,wrist_flexion,mendeley-S015-wrist_flexion-R04,mendeley-S015-R04-G02-wrist_flexion,mendeley-S015-wrist_flexion-R04,0,validation
mendeley-S21-K2-seed3401,21,2,3401,hand_close,mendeley-S021-grip-R01,mendeley-S021-R01-G05-grip,mendeley-S021-grip-R01,0,validation
mendeley-S21-K2-seed3401,21,2,3401,hand_close,mendeley-S021-grip-R03,mendeley-S021-R03-G05-grip,mendeley-S021-grip-R03,0,validation
mendeley-S21-K2-seed3401,21,2,3401,rest,mendeley-S021-rest-R01,mendeley-S021-R01-G00-rest,mendeley-S021-rest-R01,0,validation
mendeley-S21-K2-seed3401,21,2,3401,rest,mendeley-S021-rest-R02,mendeley-S021-R02-G00-rest,mendeley-S021-rest-R02,0,validation
mendeley-S21-K2-seed3401,21,2,3401,wrist_extension,mendeley-S021-wrist_extension-R02,mendeley-S021-R02-G01-wrist_extension,mendeley-S021-wrist_extension-R02,0,validation
mendeley-S21-K2-seed3401,21,2,3401,wrist_extension,mendeley-S021-wrist_extension-R04,mendeley-S021-R04-G01-wrist_extension,mendeley-S021-wrist_extension-R04,0,validation
mendeley-S21-K2-seed3401,21,2,3401,wrist_flexion,mendeley-S021-wrist_flexion-R02,mendeley-S021-R02-G02-wrist_flexion,mendeley-S021-wrist_flexion-R02,0,validation
mendeley-S21-K2-seed3401,21,2,3401,wrist_flexion,mendeley-S021-wrist_flexion-R04,mendeley-S021-R04-G02-wrist_flexion,mendeley-S021-wrist_flexion-R04,0,validation
mendeley-S23-K2-seed3401,23,2,3401,hand_close,mendeley-S023-grip-R01,mendeley-S023-R01-G05-grip,mendeley-S023-grip-R01,0,validation
mendeley-S23-K2-seed3401,23,2,3401,hand_close,mendeley-S023-grip-R04,mendeley-S023-R04-G05-grip,mendeley-S023-grip-R04,0,validation
