dataset_id,dataset_view_id,subject_id,subject_key,partition,split_version,split_seed,rank_sha256,source_filename,source_file_sha256
mendeley-4channel-hand-gesture-v2,mendeley_core4_primary_v1,1,mendeley-S001,train,mendeley-subject-holdout.v1,3001,f096d8f2b86dc433c6ef5a2420ef037daf577474235df6e28a084bd8afa50107,1_raw.mat,14b60fb5d2ed5d2863e3e22b87b15d82b2f101534854839bce087e1e6bc33e33
mendeley-4channel-hand-gesture-v2,mendeley_core4_primary_v1,2,mendeley-S002,train,mendeley-subject-holdout.v1,3001,67a198cafd62a849516ff26a8358f9727e4bf2174ecefe1a8216668db20fef12,2_raw.mat,b0ce5dda5cd138f5dde5df256138b9e6edc916ee83458625781cc7654b16c73e
mendeley-4channel-hand-gesture-v2,mendeley_core4_primary_v1,3,mendeley-S003,train,mendeley-subject-holdout.v1,3001,e7724c74083b6a920afa8e018a986c0d5c69dc05fb6c32302f02682d984a8981,3_raw.mat,fcaa440066c929625020bfe930d7f63aabf3c05a03e9b7c3ed5f5eb884e15470
mendeley-4channel-hand-gesture-v2,mendeley_core4_primary_v1,4,mendeley-S004,train,mendeley-subject-holdout.v1,3001,c9d9dc7bfd9a05dc2f9fe8708b57035142849790a476facf53e45b30ac497d2a,4_raw.mat,cc10e13092b657a26a9bcec9bf9f58177a55cb3aabf4291e37cdf28e3cfc7b31
mendeley-4channel-hand-gesture-v2,mendeley_core4_primary_v1,5,mendeley-S005,train,mendeley-subject-holdout.v1,3001,9f83cb6954b786a5dc98ecce711f0e7acfaa5dd1c99d9993ad9a506793d44d0b,5_raw.mat,c87ec64822e85de61460a225c8855ea23c9fdf2db69a6d6ccc51da0c80c77326
mendeley-4channel-hand-gesture-v2,mendeley_core4_primary_v1,6,mendeley-S006,validation,mendeley-subject-holdout.v1,3001,11e06508a061b804cd24466c591791b3a08898cb6c1aadd728f3c1cc296582bd,6_raw.mat,f38fa930cc0c3c2f7d93c3f88761a7eb44f6cd53a117b8da7d2073afe7edacec
mendeley-4channel-hand-gesture-v2,mendeley_core4_primary_v1,7,mendeley-S007,train,mendeley-subject-holdout.v1,3001,7f68bcbc288d834c75098aab4733e90667f74b91da4eb86cb814c5fc87313a3d,7_raw.mat,78857c0bb94a4869ffc57b174bdb08df396309346187b4de8b4f6e28e2efc36c
mendeley-4channel-hand-gesture-v2,mendeley_core4_primary_v1,8,mendeley-S008,train,mendeley-subject-holdout.v1,3001,ff2610d8f0221db0974ea5b8a762f68f454fa44d57e72f9c5e849e3819783398,8_raw.mat,b3bc91b4cbee6df3cf41cede3fafa04f8b0898577086d2f45b46f183118708e7
mendeley-4channel-hand-gesture-v2,mendeley_core4_primary_v1,9,mendeley-S009,train,mendeley-subject-holdout.v1,3001,917623a7efd674fda5267ad40fe7b233bc6a01107636ff68feaa13585daf52ea,9_raw.mat,c046e5a3fb4380da8858a11ecddee9172a34192b663f93e812ed24410a84ad92
mendeley-4channel-hand-gesture-v2,mendeley_core4_primary_v1,10,mendeley-S010,validation,mendeley-subject-holdout.v1,3001,1109ee6c7eaa290c028d3776dae9553c9f02684005353a34521098e2acc1d552,10_raw.mat,a5576392458f7811a89646164b52fd491692ee09278d91e563c17fbd004a48fe
mendeley-4channel-hand-gesture-v2,mendeley_core4_primary_v1,11,mendeley-S011,train,mendeley-subject-holdout.v1,3001,40c43e308ab04bec59ca0c698d160b22db0a591e22b0bb2b049f9c199cc7d69a,11_raw.mat,9a936122f5a62c7cb600a1d210a5865257984bc58f359755e7fa60dd822aff51
mendeley-4channel-hand-gesture-v2,mendeley_core4_primary_v1,12,mendeley-S012,train,mendeley-subject-holdout.v1,3001,60ec05f6c39e84a82ff76b81eb0608fcfe87837968e1a9b1898e479656858d7e,12_raw.mat,27e46bb2d59c8e4b3eaf9573a8ed103752564d476bf41c652df325f468bb1ab8
